,precision,recall,f1-score,support
0,0.8457350272232305,0.903976721629486,0.8738865447726207,1031.0
1,0.67,0.5417789757412399,0.5991058122205664,371.0
accuracy,0.8081312410841655,0.8081312410841655,0.8081312410841655,0.8081312410841655
macro avg,0.7578675136116153,0.7228778486853629,0.7364961784965935,1402.0
weighted avg,0.7992316783645866,0.8081312410841655,0.8011735263868774,1402.0
